Unnamed: 0,recipe_name,prep_time,cook_time,total_time,ingredients,directions,rating,cuisine_path,nutrition,img_src
507,Apricot Muffins,15 mins,15 mins,30 mins,"1 cup chopped dried apricots, 1 cup boiling water, 2 cups all-purpose flour, ¾ cup white sugar, 1 teaspoon baking soda, ½ teaspoon salt, ¼ cup melted butter, ¼ cup vegetable oil, 1 cup buttermilk, 1  egg","Preheat the oven to 400 degrees F (200 degrees C). Grease a 12 cup muffin pan, or line with paper muffin cups. Place apricots into a small bowl, and pour the boiling water over them. Let stand for 5 minutes.
In a medium bowl stir together the flour, sugar, baking soda and salt. In a separate bowl, whisk together the melted butter, oil, buttermilk and egg. Pour the wet ingredients into the dry ingredients, and stir until just blended. It is okay for the batter to have some lumps. Drain water from apricots, and mix them into the batter. Spoon into the prepared muffin cups.
Bake for 15 minutes in the preheated oven, or until the top springs back when lightly pressed. Cool in the pan over a wire rack.",4.5,/Bread/Quick Bread Recipes/Muffin Recipes/,"Total Fat 9g 12%, Saturated Fat 3g 17%, Cholesterol 27mg 9%, Sodium 258mg 11%, Total Carbohydrate 36g 13%, Dietary Fiber 1g 5%, Total Sugars 19g, Protein 4g, Vitamin C 0mg 2%, Calcium 37mg 3%, Iron 1mg 7%, Potassium 186mg 4%",https://www.allrecipes.com/thmb/Mg78laKDNqqBOw-PD5qFeQ5fPLc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/846795-98e52f7a6a6d403684eaa83080f8c31c.jpg
508,Apricot Brandy Pound Cake III,30 mins,1 hrs,1 hrs 30 mins,"3 cups sifted all-purpose flour, ¼ teaspoon baking soda, ½ teaspoon salt, 1 cup sour cream, ½ teaspoon rum flavored extract, 1 teaspoon orange extract, ¼ teaspoon almond extract, ½ teaspoon lemon extract, 1 teaspoon vanilla extract, ½ cup apricot brandy, 1 cup butter, 3 cups white sugar, 6  eggs","Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch tube pan. Mix together the flour, baking soda and salt. Set aside.
Combine the sour cream, rum flavoring, orange extract, almond extract, lemon extract, vanilla extract and apricot brandy. Set aside. In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time. Beat in the flour mixture alternately with the sour cream and flavorings mixture, stirring just until incorporated.
Pour batter into prepared pan. Bake in the preheated oven for 60 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.",4.9,/Desserts/Specialty Dessert Recipes/Liqueur Dessert Recipes/,"Total Fat 18g 23%, Saturated Fat 10g 52%, Cholesterol 114mg 38%, Sodium 222mg 10%, Total Carbohydrate 60g 22%, Dietary Fiber 1g 3%, Total Sugars 40g, Protein 6g, Vitamin C 0mg 1%, Calcium 36mg 3%, Iron 2mg 8%, Potassium 81mg 2%",https://www.allrecipes.com/thmb/Tjuu37VZX-4J9zHCrnQlkVzSwJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1919016-41edb224a05045c7bd83b722d9608aeb.jpg
509,Moroccan Lamb Stew with Apricots,30 mins,1 hrs 55 mins,2 hrs 25 mins,"2 pounds boneless leg of lamb, cut into 1-inch cubes, 2 teaspoons ground coriander, 1 teaspoon ground cumin, 1 teaspoon sweet paprika, ½ teaspoon cayenne pepper, ½ teaspoon ground cardamom, ½ teaspoon ground turmeric, 2 teaspoons kosher salt, 2 tablespoons olive oil, 2 cups finely chopped onion, 4 cloves garlic, minced, 1 tablespoon minced fresh ginger root, 2 (3 inch) cinnamon sticks, 2 cups low-sodium chicken stock, 1 cup dried apricots, halved, 2 (3 inch) orange peel strips, 1 tablespoon honey, ¼ cup chopped fresh cilantro, ¼ cup toasted pine nuts","Combine lamb, coriander, cumin, paprika, cayenne, cardamom, turmeric, and salt in a large bowl; toss together until lamb is evenly coated.
Heat oil in a large Dutch oven or tagine over medium heat. Add onions; cook, stirring occasionally until soft and translucent, about 5 minutes. Stir in garlic, ginger, and cinnamon; cook, stirring frequently, until fragrant, about 1 minute. Add seasoned lamb; cook, stirring frequently until light brown, being careful not to caramelize, about 2 minutes. Add chicken stock and bring to a gentle boil over medium heat. Reduce heat to low and simmer, covered, until the lamb is just tender, about 1 hour and 15 minutes.
Stir in apricots, orange peels, and honey; continue to simmer over low heat, uncovered, until the liquid has thickened slightly and lamb is fork-tender, about 30 minutes. Remove from the heat, discard cinnamon sticks and orange peels.
Divide evenly among 4 bowls. Garnish each bowl with a tablespoon each of cilantro and pine nuts.",5,"/Soups, Stews and Chili Recipes/Stews/Lamb/","Total Fat 25g 32%, Saturated Fat 7g 33%, Cholesterol 126mg 42%, Sodium 1130mg 49%, Total Carbohydrate 41g 15%, Dietary Fiber 7g 26%, Total Sugars 26g, Protein 45g, Vitamin C 22mg 108%, Calcium 117mg 9%, Iron 6mg 32%, Potassium 1113mg 24%",https://www.allrecipes.com/thmb/v7JxWPmmachVfa0uUvk1A-b30DY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8924797-2b9366c38f36400e9b031729869b425f.jpg
510,Homemade Apricot Jam,10 mins,10 mins,1 day 20 mins,"2 ½ pounds fresh apricots, pitted and finely chopped, ⅓ cup lemon juice, 5 ¾ cups white sugar, ½ teaspoon butter, 1 (1.75 ounce) package powdered fruit pectin","Stir apricots, lemon juice, and sugar together in a large pot over medium heat; add butter to reduce foaming. Bring apricot mixture to a rolling boil, stirring constantly. Quickly stir in pectin; return to a full boil until pectin is dissolved, 1 minute. Remove from heat and skim off any foam with a metal spoon.
Sterilize jars and lids in boiling water for at least 5 minutes. Pack apricot jam into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil, then carefully lower the jars into the pot using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 5 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, for at least 24 hours. Press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). It may take up to 2 weeks for jam to set. Store in a cool, dark area.",5,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Jams and Jellies Recipes/,"Total Fat 0g 0%, Cholesterol 0mg 0%, Sodium 1mg 0%, Total Carbohydrate 23g 8%, Dietary Fiber 0g 1%, Total Sugars 22g, Protein 0g, Vitamin C 3mg 14%, Calcium 3mg 0%, Iron 0mg 1%, Potassium 55mg 1%",https://www.allrecipes.com/thmb/dDGLeRtrIG6cUN8RV1GkZSSRjpI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1215260-f892c32097944ba799a15b91620827a3.jpg
511,Energy Bars,15 mins,20 mins,1 hrs 35 mins,"2  eggs, 1 large ripe banana, mashed, 1 cup quick-cooking rolled oats, ½ cup unsalted raw sunflower seeds, ½ teaspoon ground cinnamon, ½ cup nonfat dry milk powder, ½ cup chopped pitted dates, ½ cup raisins, ½ cup chopped walnuts, ½ cup chopped dried apricots, ½ cup toasted wheat germ, ⅓ cup pure maple syrup, ¼ cup whole-wheat pastry flour","Preheat an oven to 350 degrees F (175 degrees C). Lightly oil a 9x13-inch baking dish.
Mix the eggs, banana, oats, sunflower seeds, cinnamon, milk powder, dates, raisins, walnuts, apricots, wheat germ, maple syrup, and whole-wheat pastry flour together in a large bowl until thoroughly combined; spread the mixture evenly into the prepared baking dish.
Bake in the preheated oven for 20 minutes; set aside to cool. Cut into 9 bars and wrap with plastic to store.",4.5,/Appetizers and Snacks/Snacks/Granola Bar Recipes/,"Total Fat 11g 14%, Saturated Fat 1g 7%, Cholesterol 43mg 14%, Sodium 56mg 2%, Total Carbohydrate 47g 17%, Dietary Fiber 5g 19%, Total Sugars 28g, Protein 11g, Vitamin C 3mg 14%, Calcium 133mg 10%, Iron 3mg 14%, Potassium 599mg 13%",https://www.allrecipes.com/thmb/13oMKlZAtIZLOtX9eJOi9RDUprk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/734665-3f54a18a93cd42e6adada64df5399d51.jpg
512,Apricot Chicken with Balsamic Vinegar,25 mins,30 mins,55 mins,"2 tablespoons extra-virgin olive oil, 2 pounds chicken breast tenderloins, cut into bite-size pieces,   salt and pepper to taste, 1 large onion, chopped (Optional), ¼ cup balsamic vinegar, or to taste, 20  dried apricots, 1 cup chicken stock, 1 cup apricot preserves, 1 tablespoon chopped fresh thyme, 3 tablespoons chopped fresh flat-leaf parsley (Optional)","Heat the olive oil in a large skillet with a lid over medium-high heat. Season the chicken with salt and pepper, and cook in the hot oil until golden brown around the edges, but still pink in the center, about 5 minutes. Stir in the onion, and cook for about 3 minutes more. Pour in the balsamic vinegar, bring it to a simmer, and allow it to reduce for a few minutes.
Cut half of the apricots in half, leaving the others whole. Place the apricots into the skillet, and pour in the chicken stock. Bring to a simmer, then stir in the apricot preserves and thyme. Reduce the heat to medium-low, cover, and simmer until the apricots have softened, 10 to 15 minutes. Sprinkle with chopped parsley to serve.",4.1,/Meat and Poultry/Chicken/Chicken Breast/Healthy Chicken/,"Total Fat 6g 8%, Saturated Fat 1g 7%, Cholesterol 65mg 22%, Sodium 164mg 7%, Total Carbohydrate 45g 16%, Dietary Fiber 2g 9%, Total Sugars 33g, Protein 25g, Vitamin C 8mg 38%, Calcium 44mg 3%, Iron 2mg 11%, Potassium 560mg 12%",https://www.allrecipes.com/thmb/bwtuTMCyhThso_J84-hxmK-3kZI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/586409-ec7d6bdfd20740d486b97dec1ae785dc.jpg
513,Apricot Cheesecake,40 mins,1 hrs 8 mins,8 hrs 48 mins,"1 ⅓ cups almond flour, 3 tablespoons brown sugar, 2 tablespoons sliced almonds, chopped, 2 tablespoons butter, melted","Preheat oven to 350 degrees F (175 degrees C). Line a 9-inch springform pan with parchment paper.
Combine almond flour, brown sugar, and almonds in a bowl. Add melted butter; stir with a fork until the mixture resembles wet sand. Spread on the bottom of the parchment-lined pan.
Combine apricots and water in a saucepan; bring to a boil and simmer until very soft, about 10 minutes. Drain; mash apricots into a pulp. Add amaretto; mix well. Sweeten with 1 teaspoon white sugar.
Beat cream cheese, 3/4 cup white sugar, 1/2 cup sour cream, cornstarch, and 1 1/2 teaspoons vanilla extract in a bowl using an electric mixer on low speed. Add eggs one at a time; mix well. Fold in 2 tablespoons of apricot pulp; reserve remainder for topping. Pour cheesecake batter into the pan, covering the crust.
Bake in the preheated oven until edges are puffed and surface of cheesecake is firm except for a small spot in the center that will jiggle when the pan is gently shaken, about 45 minutes.
Beat 1 1/2 cups sour cream, 3 tablespoons white sugar, and 1 teaspoon vanilla extract together until combined. Remove cheesecake from the hot oven; spoon topping over the surface and return cake to the oven for 8 minutes more.
Cool to room temperature, about 1 hour. Refrigerate for 6 to 8 hours. Top with remaining apricot pulp.",5,/Desserts/Cakes/Cheesecake Recipes/,"Total Fat 38g 49%, Saturated Fat 20g 98%, Cholesterol 130mg 43%, Sodium 221mg 10%, Total Carbohydrate 40g 15%, Dietary Fiber 3g 10%, Total Sugars 31g, Protein 11g, Vitamin C 1mg 3%, Calcium 113mg 9%, Iron 2mg 8%, Potassium 369mg 8%",https://www.allrecipes.com/thmb/hGknfmqfD_tIsLQCy7lzth81vsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5198951-df02f6ceb62b42beb38701cf7464fa6c.jpg
514,Apricot Noodle Kugel,25 mins,45 mins,1 hrs 10 mins,"1 (8 ounce) package wide egg noodles, ¼ cup butter, softened, 1 (3 ounce) package cream cheese, softened, 3  eggs, beaten, ½ cup white sugar, 1 teaspoon vanilla extract, 1 cup apricot nectar, 1 cup milk, ½ cup golden raisins (Optional), 1 ½ cups cornflake crumbs, ½ cup butter, softened, ¼ cup white sugar, 1 teaspoon vanilla extract, 1 teaspoon ground cinnamon","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x9 inch baking pan.
Bring a large saucepan of lightly salted water to a boil. Stir in egg noodles, and cook for 8 to 10 minutes or until al dente; drain.
In a medium bowl, thoroughly mix egg noodles with 1/4 cup butter, cream cheese, eggs, 1/2 cup sugar, and vanilla. Stir in apricot nectar and milk. Mix in raisins. Transfer to the prepared baking pan.
In a separate medium bowl, mix cornflake crumbs, 1/2 cup butter, 1/4 cup sugar, remaining vanilla, and cinnamon. Spread over the egg noodle mixture.
Bake 45 minutes in the preheated oven, until bubbly and lightly browned.",4.4,/Side Dish/,"Total Fat 17g 21%, Saturated Fat 10g 49%, Cholesterol 102mg 34%, Sodium 219mg 10%, Total Carbohydrate 46g 17%, Dietary Fiber 1g 4%, Total Sugars 22g, Protein 7g, Vitamin C 3mg 13%, Calcium 53mg 4%, Iron 5mg 25%, Potassium 182mg 4%",https://www.allrecipes.com/thmb/ys2n8V4xuAnvX_VgOM71LLRs1C0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5546032-ba85d755ff1647aa8e78df2cd63c5898.jpg
515,Great-Grandmother Bubbie's Hamantaschen,20 mins,30 mins,2 hrs 50 mins,"2 cups pitted prunes, cooked, drained and mashed, 2 cups dried apricots, cooked drained and mashed, 3  eggs, 1 cup white sugar, ½ cup safflower oil, 1  lemon, zested, 1  orange, zested, 4 cups unbleached all-purpose flour, 2 teaspoons baking powder, 1 tablespoon lemon juice, ½ cup chopped walnuts, ⅓ cup white sugar, or to taste","Place prunes and apricots into a large pot filled with water and bring to a rolling boil over high heat. Cook the fruit uncovered, stirring occasionally, until the fruit is tender, about 15 minutes. Drain fruit in a colander and mash together in a bowl using a fork. Set aside.
Preheat an oven to 350 degrees F (175 degrees C).
Whisk eggs, 1 cup sugar, oil, lemon zest, and orange zest together in a bowl and set aside. Sift flour and baking powder together in a large bowl. Stir in the egg mixture, kneading with hands until the dough comes together. Roll out dough to about 1/4 inch in thickness on a lightly floured surface. Cut circles out using a cookie cutter or the rim of a drinking glass.
Mix prune and apricot mixture, lemon juice, walnuts, and 1/3 cup sugar in a bowl. Place a tablespoon of the filling in the center of the cookie. Pinch the edges firmly together to create a triangle, leaving the center open to expose the filling. Repeat with the remaining cookies.
Bake in the preheated oven until golden brown, about 20 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.",4.5,/Desserts/Cookies/Fruit Cookie Recipes/Apricot/,"Total Fat 5g 6%, Saturated Fat 0g 2%, Cholesterol 16mg 5%, Sodium 34mg 1%, Total Carbohydrate 29g 11%, Dietary Fiber 2g 6%, Total Sugars 15g, Protein 3g, Vitamin C 1mg 5%, Calcium 30mg 2%, Iron 1mg 7%, Potassium 183mg 4%",https://www.allrecipes.com/thmb/W9JPsMx6sy2qIRUiCCvETtsevCc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2121650-55e6ea68bdaa43d0be9f56b168bbf4a2.jpg
516,Streamline Hungarian Torte,20 mins,1 hrs 10 mins,1 hrs 30 mins,"2 cups chopped walnuts, 1 teaspoon ground cinnamon, ¾ cup white sugar, ¼ cup warm water (110 degrees F/45 degrees C), 1 (.25 ounce) envelope active dry yeast, 1 teaspoon white sugar, 4  egg yolks, ½ cup sour cream, 1 ⅓ cups butter or margarine, softened, 4 ½ cups all-purpose flour, 1 (16 ounce) jar apricot preserves, 4  egg whites, ⅔ cup white sugar","Preheat oven to 350 degrees F (175 degrees C). Grease an 11x17 inch jelly roll pan. Mix together the walnuts, ground cinnamon, and 3/4 cup of sugar in a medium bowl and set aside.
In a small bowl, dissolve the yeast and 1 teaspoon sugar in warm water. Let stand until creamy, about 10 minutes. In a large bowl, stir together the yeast mixture, egg yolks, sour cream, and butter. Gradually stir in the flour until the dough becomes too stiff to use a spoon. Use your hand to knead the dough in the bowl until it becomes smooth, about 5 minutes. Divide the dough into three equal parts, form into balls, cover, and set aside to rest for about 15 minutes.
Roll one of the balls of dough between 2 sheets of waxed paper to fit the pan. Place the dough in the bottom of the prepared baking pan and spread with 3/4 of the nut mixture. Roll out another ball of dough in the same way, place this over the nut layer in the pan and spread the apricot preserves evenly over the dough. Roll the third ball in the same way and place on top of the layer of preserves.
Place the torte in the preheated oven and set the timer for 40 minutes. When the timer goes off, the top of the torte should be golden brown, if not then wait a few minutes. Place the egg whites into a clean glass or metal bowl. Whip the egg whites to soft peaks, then gradually add 2/3 cup sugar while beating the egg whites to stiff peaks. Spread the meringue evenly over the top of the torte and sprinkle with the remaining nut mixture.
Bake the meringue-covered torte for an additional 15 minutes. Cool the torte in the pan set on a wire rack. Trim the edges for a cleaner presentation. Serve at room temperature.",4.4,/Cuisine/European/Eastern European/Hungarian/,"Total Fat 14g 18%, Saturated Fat 6g 30%, Cholesterol 48mg 16%, Sodium 71mg 3%, Total Carbohydrate 33g 12%, Dietary Fiber 1g 4%, Total Sugars 15g, Protein 4g, Vitamin C 1mg 7%, Calcium 23mg 2%, Iron 1mg 7%, Potassium 84mg 2%",https://www.allrecipes.com/thmb/a94Y1XDpImfNGHJznuK9BYMxLlk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1673225-c8d08df017e64b448d2093c2b0ef27b2.jpg
517,Capirotada (Mexican Dessert),15 mins,1 hrs,1 hrs 15 mins,"3 cups water, 16 ounces piloncillo (Mexican brown sugar cone), chopped, 3  cinnamon sticks, 2 tablespoons raw sugar, 2 tablespoons vanilla extract, ¼ teaspoon ground cloves, ¼ cup butter, 1 (18 ounce) loaf French bread, sliced, 1 ½ cups shredded Monterey Jack cheese, 1 ½ cups chopped walnuts, ½ cup raisins, ½ cup chopped dried apricots","Preheat the oven to 350 degrees F (175 degrees C).
Combine water, piloncillo, cinnamon sticks, sugar, vanilla extract, and cloves in a pot. Bring to a boil. Reduce heat and cook until slightly thickened and reduced to a syrup, about 10 minutes. Remove cinnamon sticks.
Lightly butter each slice of bread. Place slices in a large, flat baking pan.
Bake in the preheated oven until toasted, 10 to 15 minutes. Let butter dry.
Grease a 9x13-inch cake pan and add 1/2 of the toasted bread. Sprinkle 1/2 of the Monterey Jack cheese, walnuts, raisins, and apricots over the bread. Drizzle 1/2 of the syrup on top to fully coat the bread. Top with the remaining bread, cheese, walnuts, raisins, apricots, and syrup. Cover with aluminum foil.
Bake in the preheated oven for 20 minutes. Remove foil and continue baking until lightly browned and heated through, about 15 minutes more. Serve warm.",5,/Cuisine/Latin American/Mexican/,"Total Fat 14g 18%, Saturated Fat 5g 24%, Cholesterol 17mg 6%, Sodium 288mg 13%, Total Carbohydrate 57g 21%, Dietary Fiber 2g 8%, Total Sugars 36g, Protein 8g, Vitamin C 0mg 2%, Calcium 117mg 9%, Iron 2mg 10%, Potassium 196mg 4%",https://www.allrecipes.com/thmb/ZnsqyGktw66o7FnMQkRPXzcC8AQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/610795-233385223a1b458fa9cdb39037bfc3d4.jpg
518,"Cranberry Sauce with Apricots, Raisins, and Orange",10 mins,15 mins,8 hrs 25 mins,"1 cup orange juice, 1 cup water, 4 cups fresh cranberries, ¾ cup sugar, 1 cup chopped dried apricots, 1 cup golden raisins, 1 tablespoon grated orange zest","In a large saucepan over medium heat, mix the orange juice, water, cranberries, sugar, apricots, raisins, and orange zest. Stir constantly until sugar has dissolved, about 5 minutes. Bring to a boil, and cook 10 minutes, or until cranberries have burst. Remove from heat, and chill at least 8 hours, or overnight, before serving cold.",4.9,/Side Dish/Sauces and Condiments/Sauces/Cranberry Sauce Recipes/,"Total Fat 0g 0%, Sodium 2mg 0%, Total Carbohydrate 19g 7%, Dietary Fiber 2g 6%, Total Sugars 15g, Protein 1g, Vitamin C 8mg 41%, Calcium 10mg 1%, Iron 0mg 2%, Potassium 151mg 3%",https://www.allrecipes.com/thmb/_iuMkQkiEoBWbjPuqhQj0bX8m_8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/301591-5b1612bbb2364cdc98d34e3d8ef7731b.jpg
519,Apricot Glazed Carrots,15 mins,10 mins,25 mins,"2 pounds carrots, peeled and diagonally sliced, 3 tablespoons butter, melted, ⅓ cup apricot preserves, ¼ teaspoon ground nutmeg, ¼ teaspoon salt, 1 teaspoon orange zest, 2 teaspoons fresh lemon juice,   chopped fresh parsley for garnish","Add carrots to a pot of lightly salted water, and bring to a low boil. Simmer until carrots are tender. Drain.
Put melted butter in a bowl, and stir in apricot preserves. Stir in nutmeg, salt, orange zest, and lemon juice. Add carrots, and stir well to coat. Sprinkle with chopped parsley.",4.1,/Side Dish/Vegetables/Carrots/Glazed Carrot Recipes/,"Total Fat 5g 6%, Saturated Fat 3g 14%, Cholesterol 11mg 4%, Sodium 189mg 8%, Total Carbohydrate 20g 7%, Dietary Fiber 3g 12%, Total Sugars 11g, Protein 1g, Vitamin C 14mg 68%, Calcium 47mg 4%, Iron 1mg 3%, Potassium 397mg 8%",https://www.allrecipes.com/thmb/v9FF7LzkL0RkTi8-h3ejFrYoRjU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9191803-69496e0a747e4e1989355cff0a64abc1.jpg
520,Apricot-Pecan Sweet Potatoes,20 mins,45 mins,1 hrs 5 mins,"3 pounds sweet potatoes, peeled and cut into chunks, 1 cup packed brown sugar, 5 teaspoons cornstarch, ¼ teaspoon salt, ⅛ teaspoon ground cinnamon, 1 cup apricot nectar, ½ cup hot water, 2 teaspoons grated orange peel, 2 tablespoons butter, ½ cup chopped pecans","Place the sweet potatoes into a large pot and cover with water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and allow to steam dry for a minute or two.
Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
Mix together brown sugar, cornstarch, salt, cinnamon, apricot nectar, water, and orange peel in a saucepan; bring to a boil over medium heat. Reduce heat to medium-low, and cook for 2 minutes, stirring constantly. When the sauce is thick, stir in the butter and pecans. Place the sweet potato chunks into the prepared baking dish, and pour the sauce over to coat all the potatoes.
Bake in the preheated oven until tender and bubbling, 25 to 30 minutes.",4.7,/Side Dish/Vegetables/Sweet Potatoes/,"Total Fat 8g 10%, Saturated Fat 2g 12%, Cholesterol 8mg 3%, Sodium 196mg 9%, Total Carbohydrate 68g 25%, Dietary Fiber 6g 21%, Total Sugars 38g, Protein 4g, Vitamin C 5mg 25%, Calcium 83mg 6%, Iron 2mg 8%, Potassium 676mg 14%",https://www.allrecipes.com/thmb/0NW6eqgnaDvQFZ2-ER7X9j5-AFM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/821586-a12b6086bd5b447687fac56a442aae75.jpg
521,Ma Lipo's Apricot-Glazed Turkey with Roasted Onion and Shallot Gravy,30 mins,4 hrs 30 mins,5 hrs 30 mins,"1 cup apricot nectar, 1 cup apricot preserves, 2 tablespoons minced fresh ginger root, 1 tablespoon honey, ¾ cup unsalted butter, softened, 3 tablespoons chopped fresh sage, 1 ½ teaspoons salt, 1 teaspoon ground black pepper, 2 tablespoons unsalted butter, 3  onions, thinly sliced, 6 ounces thinly sliced shallots, 22 pounds whole turkey, 2 cups low-sodium chicken broth, 1 teaspoon chopped fresh thyme, ½ teaspoon dried sage, 2 cups low-sodium chicken broth,   salt and pepper to taste","Combine apricot nectar, preserves, ginger, and honey in a small saucepan and bring to boil. Reduce heat to medium-low, and simmer until thickened and reduced to 1-1/4 cups, about 15 minutes.
Blend 3/4 cup unsalted butter at room temperature, 3 tablespoons chopped fresh sage, salt, and pepper in small bowl. Set aside.
Melt 2 tablespoons unsalted butter in a large heavy skillet over medium heat. Add onions and shallots; saute until very soft and light brown, about 20 minutes.
Position rack in lowest third of oven. Preheat to 400 degrees F (200 degrees C).
Season turkey cavity with salt and pepper. Place turkey, breast side up, on a rack in a large roasting pan. Slide hand under skin of turkey breast to loosen skin. Spread half of herb butter over breast under skin. Rub remaining herb butter over outside of turkey.
If stuffing turkey, spoon stuffing loosely into main cavity; it will expand as it cooks. Tie legs together loosely to hold shape of turkey.
Roast turkey for 30 minutes in the preheated oven. Reduce oven temperature to 325 degrees F (165 degrees C), and continue roasting 1 hour 30 minutes, basting occasionally with pan drippings. Tent turkey with aluminum foil; roast 45 minutes longer.
Add onion mixture, 1 cup broth, thyme, and 1/2 teaspoon chopped fresh sage to the roasting pan. Roast 15 more minutes before brushing 1/2 cup apricot glaze over turkey. Continue to roast turkey uncovered, brushing occasionally with glaze. Add more broth to the pan if necessary. Bake 40 minutes longer for unstuffed turkey, and 1 hour 10 minutes longer for stuffed turkey, or until meat thermometer inserted into the thickest part of the thigh registers 165 degrees F (75 degrees C). Place turkey on a platter, and tent with foil. Let stand 30 minutes. Reserve mixture in pan for gravy.
Pour contents of roasting pan into a strainer set over a large bowl. Skim fat from pan juices using a large spoon. Transfer the onion mixture to a blender. Add 1 cup pan juices, and puree until smooth, adding more pan juices and chicken broth if necessary to thin sauce to desired consistency. Transfer sauce to a large saucepan, and bring to a boil. Cook until color deepens, skimming off any foam, about 5 minutes. Season with salt and pepper.",4.7,/Holidays and Events Recipes/Thanksgiving/Turkey/Roasted/,"Total Fat 29g 37%, Saturated Fat 10g 52%, Cholesterol 211mg 70%, Sodium 301mg 13%, Total Carbohydrate 11g 4%, Dietary Fiber 0g 1%, Total Sugars 7g, Protein 68g, Vitamin C 2mg 12%, Calcium 73mg 6%, Iron 5mg 25%, Potassium 729mg 16%",https://www.allrecipes.com/thmb/5fi7bVdFQawr7BxAhxsAV4BNU10=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/53934-c05fcdd0989e46018e83bbb580592355.jpg
522,Apricot Glazed Ham,10 mins,1 hrs 55 mins,2 hrs 5 mins,"1 (8 pound) fully-cooked, bone-in ham, ¼ cup whole cloves (Optional), ½ cup apricot preserves, 3 tablespoons honey mustard","Preheat the oven to 350 degrees F (175 degrees C).
Score the fatty side of the ham with a sharp knife in a diamond pattern, spacing the lines about 1 inch apart. Insert whole cloves at the intersections, if desired. Place the ham in a shallow roasting pan and cover with aluminum foil.
Bake the ham in the preheated oven for about 90 minutes. About 10 minutes before the ham is finished, measure the apricot preserves into a small saucepan. Warm over medium heat until liquid, then remove from the heat and stir in the honey mustard.
Brush the glaze onto the ham, and return to the oven, uncovered, and bake for an additional 15 to 20 minutes, or until the glaze is nicely browned. Let the ham stand for about 10 minutes before carving and serving.",4.5,/Main Dishes/Pork/Ham/Whole/,"Total Fat 48g 62%, Saturated Fat 17g 86%, Cholesterol 145mg 48%, Sodium 3363mg 146%, Total Carbohydrate 10g 4%, Dietary Fiber 1g 3%, Total Sugars 6g, Protein 48g, Vitamin C 92mg 458%, Calcium 32mg 2%, Iron 2mg 12%, Potassium 817mg 17%",https://www.allrecipes.com/thmb/T7uEjBn4pThg5urdPVDXiow0T90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7881564-486577201a7f40d8bbec0e14f7dd22ab.jpg
